id,zh,zh_CN,zh_TW,,,
这是正文部分这是正文部分这是正文部分这是正文部分1,感谢您游玩《指向黑块》。\n该游戏是基于《别踩白块儿》自制平台的延续，游戏提供了三维空间让黑色方块自由移动，打破传统游戏二维空间的约束。\n玩家可以通过点击黑色方块获取分数，游戏会根据玩家所点击黑色方块的节奏与手法进行评价；根据黑色方块的运动速度，测试自己的手速。, 感谢您游玩《指向黑块》。\n该游戏是基于《别踩白块儿》自制平台的延续，游戏提供了三维空间让黑色方块自由移动，打破传统游戏二维空间的约束。\n玩家可以通过点击黑色方块获取分数，游戏会根据玩家所点击黑色方块的节奏与手法进行评价；根据黑色方块的运动速度，测试自己的手速。,感謝您遊玩《指向黑塊》。 \n該遊戲是基於《別踩白塊兒》自製平臺的延續，遊戲提供了三維空間讓黑色方塊自由移動，打破傳統遊戲二維空間的約束。\n玩家可以透過點擊黑色方塊獲取分數，遊戲會根據玩家所點擊黑色方塊的節奏與手法進行評價； 根據黑色方塊的運動速度，測試自己的手速。,,,
这是正文部分这是正文部分这是正文部分这是正文部分2,在你游玩本游戏的时候，必须遵循以下要求\n1.尊重他人，不辱骂其他玩家；和谐交流，做文明素质玩家。\n2.不要作出令其他玩家感到不愉快的行为，包括但不限于侮辱诋毁该游戏的作者、游戏作弊并制造虚假成绩、在网络上随意引战、发表阴阳怪气的言论等。\n3.游戏允许被二次修改、创作，但修改软件时请保留本文的原作者的网名；根据游戏修改内容，修改者可以在本文注释自己的标识名；但不允许利用该软件谋取非法利益，包括但不限于插入广告、软件捆绑、倒卖软件、植入病毒等。\n4.制作游戏曲谱时，请考虑曲谱的版权信息，避免伤害第三方权益。\n5.游戏内不允许出现出现色情裸露、恐怖威胁、宗教宣传、邪教推广、毒品交易、博彩广告、政治讨论、分裂国家、危害国家安全等内容。\n6.游玩游戏时，请遵守当地法律规定。,在你游玩本游戏的时候，必须遵循以下要求\n1.尊重他人，不辱骂其他玩家；和谐交流，做文明素质玩家。\n2.不要作出令其他玩家感到不愉快的行为，包括但不限于侮辱诋毁该游戏的作者、游戏作弊并制造虚假成绩、在网络上随意引战、发表阴阳怪气的言论等。\n3.游戏允许被二次修改、创作，但修改软件时请保留本文的原作者的网名；根据游戏修改内容，修改者可以在本文注释自己的标识名；但不允许利用该软件谋取非法利益，包括但不限于插入广告、软件捆绑、倒卖软件、植入病毒等。\n4.制作游戏曲谱时，请考虑曲谱的版权信息，避免伤害第三方权益。\n5.游戏内不允许出现出现色情裸露、恐怖威胁、宗教宣传、邪教推广、毒品交易、博彩广告、政治讨论、分裂国家、危害国家安全等内容。\n6.游玩游戏时，请遵守当地法律规定。,在您游玩本游戏的時候，必須遵循以下要求\n1.尊重他人，不辱罵其他玩家；和諧交流，做文明素質玩家。\n2.不要作出令其他玩家感到不愉快的行為，包括但不限於侮辱詆毀該遊戲的作者、遊戲作弊並製造虛假成績、在網絡上隨意引戰、發表陰陽怪氣的言論等。\n3.遊戲允許被二次修改、創作，但修改軟件時請保留本文的原作者的網名；根據遊戲修改內容，修改者可以在本文註釋自己的標識名；但不允許利用該軟件謀取非法利益，包括但不限於插入廣告、倒賣軟體、植入病毒等。\n4.製作遊戲曲譜時，請考慮曲譜的版權信息，避免傷害第三方權益。\n5.遊戲內不允許出現色情裸露、恐怖威脅、宗教宣傳、邪教推廣、毒品交易、博彩廣告、危害國家安全等內容。\n6.台灣是中華人民共和國的一個省，嚴禁宣傳台獨言論！請台灣玩家承認一個中國原則！,, 根據遊戲修改內容，修改者可以在本文註釋自己的標識名, 但不允許利用該軟體謀取非法利益，包括但不限於插入廣告、軟體捆綁、倒賣軟體、植入病毒等。\n4.製作遊戲曲譜時，請考慮曲譜的版權資訊，避免傷害第三方權益。\n5.遊戲內不允許出現出現色情裸露、恐怖威脅、宗教宣傳、毒品交易、賭博博彩、政治討論、分裂國家、危害國家安全、人身攻擊、開盒掛人等內容。\n6.遊玩遊戲時，請遵守當地法律規定。
玩家守则,玩家守则,玩家守则,玩家守則,,,
该软件遵循MIT协议,该软件遵循MIT协议,该软件遵循MIT协议,該軟體遵循MIT協定,,,
健康游戏忠告,健康游戏忠告,健康游戏忠告,健康遊戲忠告,,,
抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。,抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。\n适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。,抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。\n适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。,抵制不良遊戲，拒絕盜版遊戲。注意自我保護，謹防受騙上當。\n適度遊戲益腦，沉迷遊戲傷身。合理安排時間，享受健康生活。,,,
测试版本，不代表最终品质,测试版本，不代表最终品质,测试版本，不代表最终品质,測試版本，不代表最終品質,,,
文件大小,文件大小,文件大小,檔案大小,,,
点击以开始游戏,点击以开始游戏,点击以开始游戏,點擊以開始遊戲,,,
设置,设置,设置,設定,,,
常规,常规,常规,常規,,,
网络,网络,网络,網路,,,
其他,其他,其他,其他,,,
视频,视频,视频,視訊,,,
音频,音频,音频,音訊,,,
控制,控制,控制,控制,,,
外观,外观,外观,外觀,,,
账户,账户,账户,賬戶,,,
调试,调试,调试,調試,,,
语言,语言,语言,語言,,,
关于,关于,关于,關於,,,
全屏,全屏,全屏,全熒幕,,,
返回,返回,返回,返回,,,
窗口,窗口,窗口,視窗,,,
缩放,缩放,缩放,縮放,,,
帧率显示,帧率显示,帧率显示,幀率顯示,,,
选单,菜单,菜单,選單,,,
退出,退出,退出,退出,,,
你确定要退出游戏？,你确定要退出游戏？,你确定要退出游戏？,你確定要退出遊戲？,,,
继续,继续,继续,繼續,,,
暂停,暂停,暂停,暫停,,,
输入歌曲名以搜索……,输入歌曲名以搜索……,输入歌曲名以搜索……,輸入歌曲名以搜索……,,,
开始,开始,开始,開始,,,
成绩,成绩,成绩,成績,,,
最终评价,最终评价,最终评价,最終評價,,,
最大连击数,最大连击数,最大连击数,最大連擊數,,,
最高得分,最高得分,最高得分,最高得分,,,
精确度,精确度,精确度,精確度,,,
详情,详情,详情,詳情,,,
歌曲速度,歌曲速度,歌曲速度,歌曲速度,,,
节拍速度,节拍速度,节拍速度,節拍速度,,,
基准节拍,基准节拍,基准节拍,基準節拍,,,
物件数量,物件数量,物件数量,物件數量,,,
谱面类型,谱面类型,谱面类型,譜面類型,,,
谱师,谱师,谱师,譜師,,,
你想要？,你想要？,你想要？,你想要？,,,
搜索,搜索,搜索,搜索,,,
汉语,汉语,汉语,漢語,,,
最佳的成绩面板,最佳的成绩面板,最佳的成绩面板,最佳的成績面板,,,
详细信息,详细信息,详细信息,詳細訊息,,,
得分,得分,得分,得分,,,
分享面板,分享面板,分享面板,分享面板,,,
结算,结算,结算,結算,,,
判定统计,判定统计,判定统计,判定統計,,,
本地排名,本地排名,本地排名,本地排名,,,
网络排名,网络排名,网络排名,網路排名,,,
查看排名,查看排名,查看排名,查看排名,,,
重试,重试,重试,重試,,,
音量,音量,音量,音量,,,
游戏暂停,游戏暂停,游戏暂停,遊戱蹔停,,,
完美,完美,完美,完美,,,
当前连击数,当前连击数,当前连击数,當前連擊數,,,
当前得分,当前得分,当前得分,當前得分,,,
当前时间,当前时间,当前时间,當前時間,,,
回放,回放,回放,回放,,,
请在左侧选择你想要游玩的歌曲,请在左侧选择你想要游玩的歌曲,请在左侧选择你想要游玩的歌曲,請在左側選擇你想要遊玩的歌曲,,,
请在左侧选择你想要设置的选项,请在左侧选择你想要设置的选项,请在左侧选择你想要设置的选项,請在左側選擇你想要設置的選項,,,
准备,准备,准备,準俻,,,
收藏,收藏,收藏,收藏,,,
轨道,轨道,轨道,軌道,,,
无轨,无轨,无轨,無軌,,,
传统,传统,传统,傳統,,,
播放器,播放器,播放器,播放器,,,
随机,随机,随机,隨機,,,
列表,列表,列表,列表,,,
使用倾斜轨道,使用倾斜轨道,使用倾斜轨道,使用傾斜軌道,,,
无限模式,无限模式,无限模式,無限模式,,,
隐藏分隔线,隐藏分隔线,隐藏分隔线,隱藏分隔線,,,
界面安全区偏移,界面安全区偏移,界面安全区偏移,介面安全區偏移,,,
更改,更改,更改,更改,,,
观察屏幕边角标识的位置，设置合适的界面安全区域。,观察屏幕边角标识的位置，设置合适的界面安全区域。,观察屏幕边角标识的位置，设置合适的界面安全区域。,觀察螢幕邊角標識的位置，設置合適的介面安全區域。,,,
水平调整,水平调整,水平调整,水平調整,,,
垂直调整,垂直调整,垂直调整,垂直調整,,,
水平缩放,水平缩放,水平缩放,水平縮放,,,
垂直缩放,垂直缩放,垂直缩放,垂直縮放,,,
分辨率,分辨率,分辨率,解析度,,,
界面调整,界面调整,界面调整,介面調整,,,
中国大陆,中国大陆,中国大陆,中國大陸,,,
中国台湾、中国香港、中国澳门,中国台湾、中国香港、中国澳门,中国台湾、中国香港、中国澳门,中國台灣、中國香港、中國澳門,,,
键盘/鼠标,键盘/鼠标,键盘/鼠标,鍵盤/滑鼠,,,
手柄,手柄,手柄,手柄,,,
触摸屏,触摸屏,触摸屏,觸摸屏,,,
无障碍,无障碍,无障碍,無障礙,,,
轨道数量,轨道数量,轨道数量,軌道數量,,,
无轨道模式,无轨道模式,无轨道模式,無軌道模式,,,
帧率,帧率,帧率,幀率,,,
内存占用,内存占用,内存占用,記憶體佔用,,,
游戏平台,游戏平台,游戏平台,作業系統平台,,,
处理器信息,处理器信息,处理器信息,處理器訊息,,,
显示卡信息,显示卡信息,显示卡信息,顯示卡訊息,,,
游戏作者,游戏作者,游戏作者,遊戲作者,,,
高级,高级,高级,高級,,,
关闭,关闭,关闭,關閉,,,
展开,展开,展开,展開,,,
打开,打开,打开,打開,,,
画质,画质,画质,畫質,,,
垂直同步,垂直同步,垂直同步,垂直同步,,,
界面缩放比例,界面缩放比例,界面缩放比例,介面縮放比例,,,
恢复该项的默认设置,恢复该项的默认设置,恢复该项的默认设置,恢復該項的預設設置,,,
有轨模式按键布局,有轨模式按键布局,有轨模式按键布局,有軌模式按鍵佈局,,,
总音量,总音量,总音量,總音量,,,
背景音乐音量,背景音乐音量,背景音乐音量,背景音樂音量,,,
乐器音量,乐器音量,乐器音量,樂器音量,,,
音频输出设备,音频输出设备,音频输出设备,音訊輸出設備,,,
物件打击时演奏方式,物件打击时演奏方式,物件打击时演奏方式,物件打擊時演奏方式,,,
作为背景音乐处理,作为背景音乐处理,作为背景音乐处理,作為背景音樂處理,,,
仅主音轨手动演奏,仅主音轨手动演奏,仅主音轨手动演奏,僅主音軌手動演奏,,,
全部音符手动演奏,全部音符手动演奏,全部音符手动演奏,全部音符手動演奏,,,
音频延迟,音频延迟,音频延迟,音訊延遲,,,
还原,还原,还原,還原,,,
选择,选择,选择,選擇,,,
按键布局,按键布局,按键布局,按鍵佈局,,,
